CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,2,-,3,-,"2,700.55",-214.80,65,"2,216.55","3,016.85","1,690","23,100.00",130,57.30,62.75,130,24.25,60.00,17.80,740,270,816,
,-,-2,3,-,"2,668.30",-192.75,"1,690","2,164.35","2,964.70","1,690","23,150.00",195,55.20,-,-,11.30,50.85,16.89,14,6,16,
,1,-1,2,-,"2,626.05",-186.10,"1,690","2,073.50","2,916.80","1,690","23,200.00",195,41.15,62.60,65,25.95,61.15,17.36,75,12,129,
,1,-1,1,-,"2,607.25",-342.90,845,"2,111.85","2,883.75","1,690","23,250.00",585,8.35,61.90,65,18.35,61.90,17.16,273,194,210,
,-,-2,3,-,"2,529.40",-328.40,"1,755","2,020.40","2,835.95","1,690","23,300.00",650,63.75,69.20,65,32.90,67.00,17.22,"1,124",488,512,
,2,-1,2,-,"2,511.30",-153.80,"1,690","1,872.85","2,731.35","1,690","23,350.00",65,43.50,-,-,1.75,42.60,15.29,2,-2,10,
,2,-1,2,-,"2,475.05",-139.40,"1,690","1,828.00","2,690.00","1,690","23,400.00",650,69.40,70.50,65,34.30,70.00,16.88,297,-117,96,
,-,-2,3,-,"2,395.05",-442.25,910,"1,902.35","2,672.50","1,690","23,450.00",910,25.55,89.80,"1,690",26.70,67.10,16.45,2,-,26,
,4,-,2,-,"2,370.75",-347.60,65,"2,293.10","2,455.75",65,"23,500.00",65,76.85,78.30,195,34.60,77.00,16.76,"3,419",454,"1,867",
,-,-2,3,-,"2,312.80",-422.45,650,"1,788.05","2,580.50","1,690","23,550.00",910,21.05,-,-,36.60,77.75,16.53,11,-1,25,
,1,-1,2,-,"2,283.15",-153.65,975,"1,743.90","2,474.80","1,690","23,600.00",-,-,-,-,33.35,78.20,16.29,28,19,71,
,1,-1,2,-,"2,237.30",-152.60,"1,755","1,772.45","2,420.30","1,690","23,650.00","1,300",28.20,107.75,910,42.80,83.05,16.28,18,12,24,
,-,-2,3,-,"2,176.75",-166.05,"1,755","1,772.80","2,376.00","1,690","23,700.00",65,83.00,103.30,"1,690",32.75,79.45,15.82,40,22,51,
,1,-1,2,-,"2,144.95",-149.05,"1,755","1,656.40","2,313.30","1,690","23,750.00","1,300",30.20,-,-,33.30,81.75,15.67,16,10,31,
,1,-1,2,-,"2,092.55",-154.80,"1,755","1,691.30","2,275.80","1,690","23,800.00",65,89.65,92.65,195,42.45,92.65,15.94,412,70,388,
,1,-1,2,-,"2,046.75",-154.10,845,"1,568.50","2,222.65","1,690","23,850.00","1,300",32.00,99.90,65,36.65,84.40,15.26,27,25,32,
,1,-1,2,-,"2,001.50",-399.75,"1,755","1,608.25","2,173.95","1,690","23,900.00",65,95.30,98.95,65,43.65,96.75,15.58,155,73,271,
,8,-1,2,-,"1,955.45",-281.30,"1,755","1,592.40","2,125.00","1,690","23,950.00",910,36.55,-,-,36.50,91.50,15.05,30,27,45,
,302,12,27,-,"1,899.00",-335.00,65,"1,849.20","1,912.45",65,"24,000.00",195,105.20,107.00,390,44.60,104.90,15.38,"5,093",-243,"4,976",
,2,-1,1,-,"1,861.25",-286.65,"1,755","1,431.70","2,080.40","1,690","24,050.00",585,38.15,129.35,845,37.90,94.20,14.62,14,12,45,
