CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,20,-,2,-,"1,791.40",-357.25,65,"1,447.85","2,004.50","1,690","24,100.00",65,110.65,114.50,65,45.05,108.95,14.98,136,71,118,
,20,-,2,-,"1,748.20",-303.00,65,"1,409.70","1,958.40","1,690","24,150.00",910,42.05,121.60,325,39.20,95.20,14.10,17,15,29,
,20,-,-,-,"1,884.25",-,65,"1,395.40","1,877.55","1,690","24,200.00",195,118.10,119.00,65,49.20,119.00,14.82,477,129,653,
,20,-,-,-,"2,015.95",-0.60,"1,755","1,218.15","1,831.70","1,690","24,250.00",65,115.60,131.80,65,43.35,115.50,14.38,32,16,35,
,21,-,-,-,"1,973.30",0.10,"1,495","1,324.65","1,838.20","1,690","24,300.00",260,128.60,132.05,65,53.15,128.55,14.59,396,102,305,
,2,-1,1,6.49,"1,613.00",-264.25,"1,170","1,249.55","1,740.05","1,690","24,350.00",910,51.05,145.45,325,48.65,127.25,14.24,27,11,23,
,1,-,2,-,"1,511.40",-318.50,"1,755","1,210.10","1,694.85","1,690","24,400.00",65,138.70,143.60,65,58.20,140.30,14.42,"1,341",223,"1,011",
,3,-,2,6.87,"1,518.70",-273.75,"1,755","1,204.30","1,659.25","1,690","24,450.00",65,142.30,158.45,65,54.90,141.65,14.16,64,34,58,
,599,5,34,9.97,"1,511.45",-239.50,65,"1,431.00","1,469.20",130,"24,500.00",65,155.85,159.35,195,66.90,159.10,14.46,"4,047",914,"5,401",
,20,-,-,-,"1,691.50",-1.75,"1,755",976.85,"1,559.90","1,690","24,550.00",65,133.10,178.90,910,31.15,126.50,13.00,35,18,44,
,4,2,2,8.17,"1,391.65",-257.35,65,"1,094.15","1,504.05",65,"24,600.00",65,165.05,172.55,65,67.85,167.00,14.08,918,395,991,
,1,-1,3,-,"1,310.70",-403.00,"1,755",887.10,"1,452.20","1,690","24,650.00",325,165.25,185.80,325,32.60,142.75,12.95,29,15,47,
,41,-,3,8.65,"1,310.00",-255.10,65,"1,037.20","1,408.30",650,"24,700.00",65,179.95,187.10,65,71.50,182.00,13.91,"1,054",294,"1,283",
,1,1,3,7.19,"1,240.70",-281.45,65,968.10,"1,375.80","1,690","24,750.00",65,182.95,201.00,325,54.05,169.80,13.19,31,-,81,
,23,-2,25,10.41,"1,265.60",-193.45,780,945.50,"1,328.65",650,"24,800.00",65,197.15,201.70,65,79.85,199.20,13.76,"1,791",176,"2,572",
,1,-,2,8.14,"1,168.25",-260.50,65,886.95,"1,281.60","1,690","24,850.00",910,192.40,226.90,520,64.45,192.85,13.23,61,-18,110,
,70,1,3,9.95,"1,171.35",-239.05,650,870.50,"1,236.45",65,"24,900.00",130,218.15,220.20,65,88.00,220.00,13.67,945,25,"1,557",
,2,-,2,7.87,"1,076.15",-264.90,"1,755",816.75,"1,211.90","1,690","24,950.00","1,170",215.80,250.45,910,47.10,185.35,12.32,25,1,33,
,"1,592",133,929,7.94,"1,035.50",-281.45,65,"1,025.15","1,038.70",65,"25,000.00",195,243.50,246.95,65,91.45,243.60,13.61,"5,556",-85,"7,651",
,2,-,2,9.06,"1,025.25",-243.15,"1,755",756.10,"1,108.85","1,690","25,050.00",65,237.25,266.25,65,90.80,240.40,13.16,16,-7,32,
,60,2,18,7.91,951.70,-288.30,65,946.00,981.10,65,"25,100.00",65,265.20,268.70,65,102.45,266.10,13.47,"1,187",204,714,
,3,-,2,9.27,953.85,-207.55,"1,755",713.25,"1,068.85",325,"25,150.00",65,273.35,287.60,65,110.10,279.95,13.45,29,-7,61,
,87,-2,48,8.55,892.00,-235.20,65,873.00,911.65,65,"25,200.00",65,290.20,294.10,65,105.60,291.05,13.35,951,-181,936,
,6,-,2,9.37,882.40,-233.65,65,627.10,983.20,325,"25,250.00",260,294.55,328.60,"1,560",90.50,279.95,12.68,32,11,99,
,91,2,33,8.80,825.50,-220.85,65,805.15,836.40,65,"25,300.00",65,319.60,323.80,65,116.00,320.00,13.28,496,-100,546,
,6,-,2,9.77,825.95,-195.55,65,584.85,816.85,"2,730","25,350.00",65,323.85,355.85,325,85.80,306.60,12.54,44,21,88,
,188,128,199,8.84,755.50,-241.95,65,737.70,775.80,65,"25,400.00",65,349.15,353.30,65,123.10,348.00,13.13,445,-8,504,
,8,-,4,9.32,740.00,-216.80,"1,820",698.45,835.30,65,"25,450.00",65,366.50,371.55,65,127.55,368.60,13.19,109,9,112,
,"3,226",210,"2,379",9.00,694.05,-226.85,65,688.00,696.80,65,"25,500.00",520,389.25,390.25,65,136.85,389.25,13.24,"5,648",657,"5,483",
,53,47,79,9.39,677.45,-220.15,650,637.00,689.10,325,"25,550.00",65,392.05,418.00,65,121.55,384.40,12.69,67,24,100,
,412,99,443,8.88,624.55,-224.50,65,622.05,638.35,65,"25,600.00",65,420.80,425.75,65,144.05,421.60,13.09,450,51,482,
,8,-1,9,8.82,590.80,-224.10,910,582.10,629.40,65,"25,650.00",65,429.00,457.35,65,142.50,429.05,12.80,35,1,59,
,406,94,297,9.05,571.00,-203.80,65,562.60,579.45,65,"25,700.00",65,460.60,466.10,65,158.15,462.00,13.07,448,-29,449,
,28,4,7,10.39,601.65,-216.20,65,342.95,573.80,520,"25,750.00",65,476.15,502.45,65,123.05,442.05,12.14,27,-7,55,
,438,86,389,9.08,515.00,-191.95,65,506.05,523.50,65,"25,800.00",65,501.90,505.00,65,169.35,505.00,13.05,586,-2,736,
,24,-2,12,10.35,545.25,-132.30,650,160.40,529.10,715,"25,850.00",65,513.45,551.20,65,145.40,501.40,12.46,19,-2,53,
,402,29,294,9.20,467.00,-175.60,65,459.85,462.00,65,"25,900.00",65,543.35,572.95,65,149.15,521.10,12.38,454,-69,408,
,64,-10,43,9.45,453.25,-177.85,65,429.55,444.20,65,"25,950.00",65,364.70,596.45,195,147.70,514.25,11.70,21,-1,39,
,"5,491",971,"4,120",9.28,421.05,-167.30,65,417.90,421.70,65,"26,000.00",130,603.00,605.00,"7,085",192.35,605.00,13.15,"4,217",305,"5,471",
,65,10,74,9.26,396.70,-162.40,65,389.90,395.95,65,"26,050.00",65,610.25,685.05,65,177.65,600.00,12.48,23,14,35,
,516,34,312,9.26,374.00,-154.25,65,367.75,372.30,65,"26,100.00",65,644.25,665.65,65,209.85,656.30,13.14,222,-25,362,
,32,3,7,10.57,411.90,-88.40,845,52.55,379.45,65,"26,150.00",65,458.05,822.75,910,137.60,625.25,11.87,14,11,30,
,884,33,614,9.24,330.75,-143.20,65,325.85,330.80,65,"26,200.00",65,698.25,723.25,65,220.45,712.00,13.17,290,10,760,
,42,17,33,9.75,333.50,-132.40,65,297.10,340.65,65,"26,250.00",910,507.50,810.60,"1,755",174.45,693.90,12.16,42,-4,79,
,"1,014",-33,515,9.27,292.90,-126.55,65,287.55,293.10,65,"26,300.00",65,758.70,784.30,65,225.25,761.00,13.01,159,-36,789,
,18,-1,12,9.74,295.00,-105.00,325,257.70,302.20,65,"26,350.00",910,751.55,"1,159.10",910,188.60,751.50,12.14,12,12,24,
,472,-2,405,9.29,257.95,-116.75,65,252.45,257.40,65,"26,400.00",65,797.65,850.50,65,195.35,787.25,12.26,65,-24,331,
,41,12,53,9.65,256.65,-92.35,65,228.65,272.30,260,"26,450.00","1,690",557.00,-,-,176.45,806.75,12.01,2,-1,6,
,"4,037",200,"4,283",9.21,222.50,-110.65,65,222.70,226.50,65,"26,500.00",65,899.10,910.40,65,256.75,905.00,13.54,"1,258",-21,"1,951",
,49,14,33,9.59,222.75,-87.25,65,194.20,244.20,65,"26,550.00","1,690",626.50,"1,165.75",65,217.90,891.15,12.49,3,-,7,
,445,-18,397,9.31,197.25,-97.55,65,194.50,198.25,65,"26,600.00",130,950.10,"1,260.35",910,156.80,860.90,11.00,23,-6,175,
,33,2,19,9.53,192.25,-86.05,325,168.60,198.90,65,"26,650.00","1,690",706.90,"1,235.10","1,755",290.00,939.30,12.07,2,-1,6,
,564,10,574,9.35,172.20,-85.40,65,168.45,172.20,65,"26,700.00",65,964.85,"1,094.05",65,214.70,963.00,11.82,13,-,115,
,33,-4,29,9.64,171.00,-63.70,260,145.45,175.95,260,"26,750.00","1,690",823.70,"1,417.60","1,755",219.50,984.15,11.48,6,1,7,
,853,212,"1,247",9.33,148.15,-74.80,65,142.85,150.50,65,"26,800.00",130,"1,082.10","1,446.25","1,755",237.10,"1,051.55",12.29,36,-19,115,
,48,-9,46,9.35,137.80,-71.70,65,127.80,140.10,65,"26,850.00","1,690",899.10,"1,453.85","1,755",254.00,"1,084.50",12.23,2,-2,5,
,455,-2,712,9.38,128.85,-65.25,65,125.10,128.90,195,"26,900.00",910,988.15,"1,588.05",65,210.00,"1,113.95",12.05,5,-4,52,
,47,-8,67,9.38,119.00,-56.35,65,103.25,126.35,65,"26,950.00",390,"1,029.10",-,-,274.90,"1,206.70",13.52,4,-,5,
,"7,780",119,"7,478",9.36,109.45,-57.15,65,110.00,110.60,"1,755","27,000.00",65,"1,275.00","1,296.85",65,294.80,"1,274.80",14.34,312,-130,"1,021",
,35,-,-,-,65.00,-,325,65.05,-,-,"27,050.00","1,690","1,080.05",-,-,-,"1,005.25",-,-,-,6,
,"1,534","1,004","1,795",9.32,92.05,-52.20,65,89.40,93.90,65,"27,100.00","1,690","1,124.25","1,717.85","1,755",249.70,"1,285.50",12.66,1,-,5,
,294,-32,145,9.48,89.05,-45.35,65,85.35,92.55,65,"27,150.00","1,690","1,172.80","1,753.70",65,-,"1,076.25",-,-,-,5,
,-,-,-,-,-,-,"1,300",45.50,-,-,"27,200.00","1,690","1,217.70",-,-,-,"1,150.05",-,-,-,1,
,-,-,-,-,-,-,910,41.05,-,-,"27,250.00","1,690","1,246.60",-,-,267.20,"1,423.00",13.29,1,1,1,
,884,-425,"2,145",9.49,69.50,-34.70,65,67.00,72.80,65,"27,300.00",65,"1,315.80","2,020.50",715,308.50,"1,479.25",13.79,2,2,2,
,17,17,21,9.67,68.00,-85.50,"1,300",36.50,108.25,910,"27,350.00","1,690","1,357.15","1,961.65",65,-,"1,240.80",-,-,-,1,
,-,-,-,-,-,-,"1,300",32.00,102.95,910,"27,400.00",780,"1,384.35",-,-,273.45,"1,552.20",13.62,1,1,2,
,-,-,-,-,-,-,390,32.05,97.80,910,"27,450.00","1,690","1,430.80","2,061.75",65,275.05,"1,596.85",13.76,1,1,1,
,"1,635",-37,"2,333",9.69,52.90,-25.05,130,52.65,53.35,65,"27,500.00",65,"1,650.15","1,741.55",260,271.45,"1,661.45",14.53,10,3,61,
,468,-157,425,9.87,52.00,-20.85,130,49.00,54.40,65,"27,550.00","1,690","1,533.80","2,104.60","1,755",301.05,"1,707.75",14.72,1,1,2,
,20,20,23,9.78,46.00,-73.20,"1,300",25.25,48.00,130,"27,600.00","1,690","1,580.20","2,166.30","1,755",312.85,"1,762.25",15.17,1,1,1,
,-,-,-,-,-,-,"1,300",23.00,79.30,910,"27,650.00","1,690","1,620.15","2,274.25","1,755",312.20,"1,808.45",15.36,1,1,1,
,1,1,1,11.55,73.10,-34.30,"1,300",22.10,75.15,910,"27,700.00","1,690","1,667.25",-,-,314.75,"1,854.70",15.54,1,1,1,
