CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,160,-21,65,11.44,650.00,-341.50,65,593.65,620.80,65,"24,850.00","1,495",12.40,12.55,910,6.60,12.40,16.34,"2,69,183","6,636","14,110",
,625,93,695,-,573.45,-365.60,130,566.90,571.55,195,"24,900.00",715,14.35,14.50,715,8.20,14.50,15.92,"4,52,327","19,342","46,223",
,199,58,315,-,528.20,-352.60,65,498.85,524.60,130,"24,950.00",65,16.75,17.00,65,10.00,16.75,15.43,"2,74,708","8,318","19,534",
,"5,203","2,100","20,001",-,476.30,-365.55,260,473.05,475.55,260,"25,000.00",975,19.85,20.05,260,12.80,20.00,15.07,"13,98,332","42,237","1,27,581",
,457,105,"1,797",-,433.95,-365.85,65,417.90,430.70,65,"25,050.00",910,23.25,23.50,65,15.70,23.30,14.59,"4,15,691","5,563","16,928",
,"1,852",701,"9,487",-,384.55,-357.90,195,382.05,384.15,910,"25,100.00",65,27.85,28.10,65,19.80,28.10,14.25,"8,17,509","12,795","46,227",
,842,169,"4,026",-,339.45,-358.65,130,336.65,340.00,260,"25,150.00",260,33.50,33.70,195,24.90,33.75,13.88,"6,41,474","6,747","23,281",
,"3,818","1,056","45,657",-,296.00,-344.90,390,295.85,297.20,650,"25,200.00",260,40.65,40.90,195,31.15,40.70,13.53,"13,77,311","18,638","64,580",
,"1,538","1,027","17,499",6.93,256.25,-337.65,195,255.10,256.40,585,"25,250.00",715,49.95,50.30,390,39.80,50.30,13.34,"11,23,136","5,876","27,132",
,"9,551","5,394","1,61,327",7.84,217.70,-327.85,260,216.55,217.65,780,"25,300.00",520,61.15,61.55,"1,365",49.40,61.05,13.05,"23,36,105","26,712","93,820",
,"3,699","3,186","81,852",8.31,181.85,-315.60,195,181.85,182.55,195,"25,350.00",195,76.55,76.90,195,63.25,76.90,13.09,"17,95,166","9,987","25,752",
,"22,732","19,048","6,30,205",8.76,150.75,-299.15,195,150.25,150.85,195,"25,400.00",130,94.75,94.95,65,79.10,94.95,13.08,"39,46,703","23,358","68,985",
,"26,650","25,795","6,63,643",9.04,122.55,-281.35,455,122.15,122.50,65,"25,450.00",130,116.45,116.75,715,97.65,116.75,13.16,"34,00,039","8,619","36,136",
,"1,43,012","1,31,396","35,28,388",9.26,98.00,-258.85,390,97.65,98.00,"5,460","25,500.00",65,142.50,142.95,195,119.55,143.00,13.40,"83,67,890","18,828","1,01,040",
,"84,008","82,309","36,54,187",9.54,78.15,-235.85,195,78.10,78.40,130,"25,550.00",260,172.00,172.65,195,143.20,172.05,13.63,"63,88,167","-14,915","31,425",
,"1,97,301","1,87,063","61,05,752",9.84,62.10,-209.25,195,62.15,62.50,130,"25,600.00",130,206.40,206.85,195,169.85,206.05,14.10,"67,18,873","6,072","61,014",
,"77,009","70,965","26,45,602",10.24,50.00,-181.20,"1,690",50.00,50.20,65,"25,650.00",65,243.45,244.55,520,199.05,244.65,14.80,"20,43,065","-17,336","19,843",
,"1,38,142","1,15,669","30,13,122",10.61,40.15,-153.25,455,40.15,40.45,260,"25,700.00",260,283.50,284.60,"1,105",226.80,284.90,15.50,"17,88,007","-46,788","28,165",
,"68,418","50,818","15,71,481",11.12,33.30,-125.35,780,33.25,33.50,"1,040","25,750.00",260,326.35,327.60,195,252.15,326.05,16.14,"5,09,745","-26,873","10,680",
,"1,61,455","48,375","23,23,802",11.68,28.20,-100.05,"1,300",28.00,28.20,260,"25,800.00",260,370.80,372.35,195,277.70,370.55,17.02,"6,67,994","-60,338","34,144",
,"1,04,991","11,378","11,76,213",12.19,23.75,-78.05,"1,625",23.75,24.10,"1,040","25,850.00",325,417.85,420.30,130,304.25,420.00,18.40,"1,50,636","-29,231","13,797",
,"1,70,970",-207,"15,16,169",12.87,21.15,-58.10,65,21.00,21.05,65,"25,900.00",260,463.50,465.65,715,321.85,465.45,19.23,"2,11,322","-33,530","27,708",
,"98,689",938,"8,04,012",13.45,18.50,-42.60,"1,040",18.50,18.65,65,"25,950.00",325,511.60,516.60,780,336.05,511.25,20.03,"46,060","-12,401","9,342",
,"2,57,910","3,923","18,42,271",14.07,16.50,-29.95,715,16.40,16.50,"1,170","26,000.00","1,235",558.05,561.05,260,350.90,561.55,21.38,"1,25,791","-18,160","23,070",
,"1,07,394","40,946","7,02,084",14.66,14.70,-20.20,65,14.60,14.75,650,"26,050.00",390,605.90,611.60,520,358.90,608.30,22.20,"11,371","-1,917","1,966",
,"1,33,424","16,886","9,15,192",15.19,13.00,-13.45,"1,040",12.90,13.00,"15,470","26,100.00",65,655.00,659.00,520,366.55,658.15,23.42,"21,443","-3,580","8,897",
,"42,386","-30,710","5,82,149",15.79,11.80,-8.00,"1,950",11.60,11.80,"1,170","26,150.00",325,704.35,711.45,65,363.65,697.50,22.99,"3,059",-672,"1,501",
,"1,10,785","4,467","9,14,744",16.33,10.60,-5.00,260,10.40,10.60,"1,430","26,200.00",325,753.05,757.80,520,373.20,754.00,25.20,"10,215","-3,283","4,047",
,"43,036","-11,686","5,20,679",16.86,9.55,-2.65,"1,300",9.45,9.55,"1,495","26,250.00",325,802.15,807.75,520,377.05,803.00,26.21,906,-174,"1,272",
,"93,336","17,898","8,78,180",17.30,8.40,-1.80,780,8.40,8.50,"1,300","26,300.00",325,850.65,853.65,260,379.55,853.90,27.51,"3,096",-524,"4,342",
,"34,423","-2,461","5,13,251",17.87,7.75,-1.10,"1,625",7.55,7.70,"1,560","26,350.00",390,896.10,907.95,130,346.40,870.45,21.93,469,-42,600,
,"92,874","21,594","7,94,750",18.27,6.80,-0.85,910,6.85,6.95,"1,820","26,400.00",130,946.75,953.45,65,376.35,950.00,29.10,960,-134,"1,564",
,"37,762","-4,269","5,64,562",18.83,6.30,-0.70,585,6.30,6.50,"1,235","26,450.00",65,997.45,"1,006.65",65,318.90,939.70,-,159,-7,391,
,"2,08,114","95,887","15,70,075",19.46,6.00,-0.30,"1,365",6.00,6.05,65,"26,500.00",325,"1,047.85","1,051.15",650,378.15,"1,046.20",30.57,"7,203",-624,"4,414",
,"21,781",-851,"4,74,366",19.98,5.55,-0.05,"1,755",5.35,5.50,"1,755","26,550.00",65,"1,094.90","1,104.20",130,293.60,"1,011.70",-,34,6,238,
,"1,00,172","40,887","9,10,606",20.48,5.10,-,"3,835",4.95,5.10,260,"26,600.00",65,"1,143.95","1,155.35",65,372.55,"1,141.00",31.64,"1,817",336,"1,034",
,"17,330",540,"2,99,616",20.82,4.50,-0.20,325,4.40,4.60,"1,755","26,650.00",130,"1,193.65","1,206.70",130,247.45,"1,104.30",-,7,-2,212,
,"91,499","26,355","6,73,115",21.30,4.15,-0.20,"31,070",4.15,4.20,65,"26,700.00",260,"1,239.80","1,256.70",130,313.70,"1,188.00",-,74,-25,313,
,"20,491","-3,620","3,25,425",21.66,3.70,-0.30,"1,625",3.70,3.85,"1,300","26,750.00",130,"1,290.30","1,305.15",130,332.55,"1,209.30",-,10,-3,74,
,"1,37,118","26,604","9,74,173",22.15,3.45,-0.20,"1,625",3.50,3.60,"1,820","26,800.00",130,"1,341.55","1,350.10",130,332.90,"1,295.00",-,22,-2,387,
,"20,640","-1,437","1,96,772",22.67,3.25,-0.25,325,3.20,3.30,"1,755","26,850.00",780,"1,276.60","1,440.85",390,-,894.25,-,-,-,8,
,"71,937","7,200","4,43,995",23.22,3.10,-0.15,325,2.90,3.05,"1,755","26,900.00",65,"1,438.10","1,459.85",130,296.25,"1,355.00",-,1,-,39,
,"13,771","3,463","1,55,254",23.64,2.85,-0.10,325,2.85,2.95,455,"26,950.00",130,"1,489.85","1,502.80",130,418.85,"1,393.45",-,2,-,13,
,"2,50,630","35,443","11,78,502",24.20,2.75,-0.05,"2,145",2.75,2.80,"1,365","27,000.00",65,"1,541.40","1,548.45",195,372.05,"1,540.00",39.37,606,-236,"1,652",
,"12,383","2,664","1,00,267",24.63,2.55,0.05,"5,980",2.50,2.60,"1,755","27,050.00",780,"1,498.35","1,763.15","1,690",-,"1,057.70",-,-,-,4,
,"45,381","-5,381","3,06,994",25.17,2.45,0.20,130,2.30,2.45,"1,885","27,100.00",65,"1,474.10","1,698.25",65,-,"1,104.70",-,-,-,13,
,"12,204",636,"75,337",25.62,2.30,0.25,65,2.25,2.30,910,"27,150.00",780,"1,566.05","1,742.30",390,-,"1,179.20",-,-,-,11,
,"70,999","5,830","2,67,423",26.13,2.20,0.30,"1,885",2.20,2.25,65,"27,200.00",260,"1,733.60","1,794.60",65,266.85,"1,620.00",-,1,-,5,
,"14,732","1,307","73,209",26.54,2.05,0.30,325,2.05,2.15,715,"27,250.00",780,"1,656.65","1,845.80",390,-,"1,266.35",-,-,-,57,
,"67,394","-1,614","2,21,352",27.10,2.00,0.40,"3,055",1.95,2.00,"5,265","27,300.00","1,690","1,670.10","1,909.40","1,690",-,"1,350.10",-,-,-,65,
,"12,119","-1,400","60,490",27.57,1.90,0.30,"1,950",1.90,1.95,"1,300","27,350.00","1,690","1,627.65","2,364.30","1,690",-,"1,353.20",-,-,-,1,
,"46,354","6,983","1,37,403",28.28,1.95,0.45,"3,965",1.90,1.95,715,"27,400.00","1,690","1,772.80","2,033.40","1,690",-,"1,416.00",-,-,-,7,
,"11,467","2,243","92,210",28.64,1.80,0.25,"4,355",1.80,1.85,65,"27,450.00",390,"1,889.05","2,044.95",390,-,"1,487.70",-,-,-,4,
,"1,88,982","28,242","6,29,824",29.26,1.80,0.20,325,1.80,1.85,"1,950","27,500.00",65,"2,039.25","2,087.65",65,379.60,"1,992.05",-,5,-1,165,
,"10,573","-3,597","94,717",29.47,1.60,0.20,260,1.60,1.70,"1,105","27,550.00",65,"2,030.90","2,143.85",65,503.25,"2,065.00",41.07,3,-1,4,
,"32,565","3,215","1,30,423",30.19,1.65,0.25,"3,510",1.60,1.65,910,"27,600.00","1,690","1,908.60","2,200.20",65,11.70,"1,648.00",-,-,-,4,
,"7,167","2,216","58,235",30.47,1.50,0.10,"4,550",1.45,1.55,"5,005","27,650.00",65,"1,951.15","2,275.85",65,-,"1,802.65",-,-,-,218,
,"51,474","23,998","2,81,593",30.83,1.40,0.05,"8,775",1.35,1.40,"23,465","27,700.00","1,690","1,996.55","2,384.40",65,-,"1,854.85",-,-,-,5,
